iter	RMSE
0	35.51432746
1	35.32638928
2	35.1503119
3	34.96560039
4	34.78447771
5	34.59445386
6	34.41922105
7	34.24097018
8	34.06485716
9	33.88398116
10	33.706301
11	33.52700401
12	33.34541845
13	33.18430423
14	33.02855643
15	32.87732528
16	32.71542138
17	32.55861539
18	32.41044952
19	32.26764762
20	32.10022462
21	31.94154391
22	31.78968812
23	31.63851051
24	31.49490054
25	31.3451387
26	31.20220582
27	31.05877144
28	30.915569
29	30.78143202
30	30.64127509
31	30.50415091
32	30.36677395
33	30.22889524
34	30.08888802
35	29.95377317
36	29.8236216
37	29.69159071
38	29.56364291
39	29.44582356
40	29.33356076
41	29.21828394
42	29.09577848
43	28.97221368
44	28.8599561
45	28.74203866
46	28.62726658
47	28.5181897
48	28.40974895
49	28.29329432
50	28.18279295
51	28.07064621
52	27.96625294
53	27.85526566
54	27.75148115
55	27.65287704
56	27.5537139
57	27.45680258
58	27.35900847
59	27.26250265
60	27.16519636
61	27.0681387
62	26.97081986
63	26.87266316
64	26.77691511
65	26.68319022
66	26.59134211
67	26.50331868
68	26.41632056
69	26.32297061
70	26.2381085
71	26.15475817
72	26.07780282
73	26.000695
74	25.91255027
75	25.82382197
76	25.74806772
77	25.66979927
78	25.58762852
79	25.51430118
80	25.44455584
81	25.36498232
82	25.29082289
83	25.21292732
84	25.14163031
85	25.06449367
86	24.99521248
87	24.92386366
88	24.85645462
89	24.78471728
90	24.71780398
91	24.64710096
92	24.58178677
93	24.51268614
94	24.45071007
95	24.38652365
96	24.32069056
97	24.25814873
98	24.19720182
99	24.13174151
100	24.0666076
101	24.00568274
102	23.94806571
103	23.88812467
104	23.83228731
105	23.77905702
106	23.71969676
107	23.66568267
108	23.6073679
109	23.55527609
110	23.49704732
111	23.44003
112	23.38756798
113	23.33795505
114	23.29183089
115	23.23602507
116	23.18737227
117	23.14234853
118	23.0945349
119	23.04529314
120	22.99851576
121	22.9499227
122	22.90518449
123	22.86135084
124	22.82533206
125	22.77797085
126	22.73109452
127	22.68174101
128	22.64260899
129	22.60032618
130	22.55802506
131	22.52255924
132	22.47554173
133	22.43917427
134	22.40164697
135	22.3641388
136	22.32607392
137	22.2840911
138	22.24440176
139	22.20710198
140	22.16904334
141	22.13773074
142	22.09978643
143	22.0649335
144	22.02982299
145	21.99925755
146	21.96363269
147	21.9313924
148	21.89830357
149	21.86323801
150	21.83185741
151	21.79677004
152	21.76509987
153	21.73592803
154	21.7023473
155	21.67281085
156	21.64058129
157	21.60780339
158	21.57754168
159	21.54550613
160	21.51538664
161	21.48815893
162	21.46160338
163	21.43327879
164	21.40729356
165	21.38157579
166	21.35300198
167	21.32722137
168	21.30104509
169	21.27470914
170	21.25034088
171	21.22222972
172	21.19459483
173	21.17102091
174	21.14502135
175	21.11768904
176	21.09380973
177	21.06772316
178	21.04796837
179	21.02418983
180	21.00087904
181	20.97919431
182	20.95607049
183	20.93251015
184	20.91083047
185	20.88989654
186	20.86727192
187	20.8475077
188	20.82650091
189	20.80476143
190	20.78316772
191	20.76160466
192	20.7386122
193	20.72039994
194	20.69896684
195	20.67817221
196	20.65655744
197	20.63745259
198	20.61845261
199	20.60167707
200	20.58134048
201	20.56387331
202	20.54396207
203	20.52438089
204	20.50390036
205	20.48670166
206	20.47024797
207	20.45336904
208	20.43291768
209	20.41477858
210	20.39627832
211	20.37711556
212	20.3597546
213	20.34314562
214	20.32774745
215	20.31130716
216	20.29327765
217	20.27712985
218	20.26122871
219	20.24689841
220	20.23319662
221	20.21873021
222	20.20340284
223	20.18695767
224	20.17261192
225	20.15732265
226	20.14045758
227	20.12446443
228	20.11067551
229	20.09522572
230	20.07927649
231	20.06459712
232	20.04786039
233	20.0344831
234	20.02030909
235	20.00632731
236	19.99382218
237	19.98040386
238	19.96809048
239	19.95437032
240	19.93938321
241	19.92586457
242	19.91386169
243	19.90206874
244	19.88946543
245	19.87876042
246	19.86593092
247	19.8556529
248	19.84379297
249	19.83038915
250	19.81721018
251	19.80596733
252	19.79293797
253	19.78216361
254	19.76968201
255	19.75809949
256	19.74748001
257	19.73471006
258	19.7223179
259	19.71195165
260	19.70134479
261	19.69126822
262	19.68136823
263	19.67240357
264	19.66183667
265	19.6503665
266	19.64191633
267	19.63119339
268	19.61927293
269	19.60924819
270	19.59851929
271	19.58941118
272	19.58181471
273	19.57102152
274	19.56060879
275	19.55212865
276	19.54134645
277	19.53254024
278	19.52390729
279	19.51451027
280	19.50609722
281	19.49827039
282	19.48866719
283	19.47900991
284	19.46926065
285	19.45862445
286	19.44928787
287	19.43900332
288	19.43127651
289	19.42337796
290	19.41384017
291	19.40302692
292	19.39217898
293	19.38252328
294	19.37322671
295	19.36467157
296	19.35565746
297	19.34440274
298	19.33619685
299	19.32636339
300	19.31814303
301	19.31081942
302	19.30075972
303	19.29304287
304	19.28523543
305	19.27636939
306	19.26904327
307	19.26146983
308	19.25294391
309	19.24192653
310	19.23678351
311	19.23108273
312	19.22195365
313	19.21360462
314	19.20402618
315	19.19554693
316	19.18838926
317	19.18084319
318	19.17196286
319	19.16384774
320	19.15707039
321	19.14884205
322	19.14253197
323	19.13427754
324	19.12866814
325	19.11897566
326	19.1109912
327	19.10263929
328	19.09498583
329	19.08485782
330	19.0776558
331	19.06652321
332	19.05651698
333	19.04906497
334	19.04134538
335	19.03242022
336	19.02434304
337	19.01606974
338	19.01113328
339	19.0061667
340	18.99874335
341	18.99329645
342	18.98773916
343	18.9808498
344	18.97422385
345	18.96677387
346	18.9614842
347	18.95381499
348	18.94656587
349	18.94156502
350	18.93683281
351	18.93046318
352	18.92253462
353	18.91723658
354	18.90950968
355	18.90296109
356	18.89490644
357	18.88755749
358	18.87958749
359	18.8727964
360	18.86803078
361	18.86224421
362	18.85724511
363	18.85091109
364	18.84480406
365	18.83830891
366	18.8318236
367	18.82748111
368	18.82171939
369	18.81526251
370	18.81006872
371	18.80448735
372	18.79746745
373	18.791023
374	18.78477199
375	18.77717291
376	18.77032849
377	18.76577745
378	18.76064325
379	18.75305807
380	18.74560079
381	18.74058647
382	18.73401477
383	18.72966332
384	18.72486662
385	18.7185014
386	18.71150718
387	18.70596563
388	18.70193182
389	18.69738571
390	18.69143325
391	18.68812328
392	18.68094011
393	18.6748423
394	18.66952327
395	18.66373153
396	18.65816697
397	18.65398553
398	18.64895563
399	18.64376306
400	18.63637335
401	18.62971329
402	18.62360369
403	18.61837021
404	18.61493504
405	18.60906156
406	18.60295938
407	18.59694549
408	18.59467465
409	18.58835929
410	18.58014853
411	18.57403106
412	18.56952134
413	18.56343734
414	18.56162137
415	18.55725589
416	18.55249313
417	18.54756707
418	18.54328234
419	18.53780943
420	18.5334277
421	18.52752295
422	18.52317369
423	18.51849693
424	18.51431972
425	18.51112724
426	18.50540204
427	18.50160612
428	18.49748999
429	18.49201683
430	18.48715457
431	18.48141164
432	18.47688294
433	18.47278665
434	18.46696081
435	18.46241576
436	18.4585983
437	18.45409707
438	18.44841543
439	18.44338344
440	18.43754251
441	18.43247868
442	18.43034496
443	18.42613455
444	18.42012613
445	18.41567694
446	18.41135236
447	18.40753926
448	18.40233101
449	18.39687607
450	18.38977022
451	18.38604719
452	18.38293262
453	18.37829369
454	18.37389062
455	18.3691075
456	18.36472985
457	18.35882237
458	18.3562154
459	18.35084012
460	18.346554
461	18.3413835
462	18.33743612
463	18.33411234
464	18.33047661
465	18.32461276
466	18.31919693
467	18.31425865
468	18.30973775
469	18.30797571
470	18.30422621
471	18.29977066
472	18.2956416
473	18.29166428
474	18.28671602
475	18.28215166
476	18.27558435
