iter	Passed	Remaining
412	3591	5105
413	3601	5097
414	3609	5088
415	3617	5078
416	3626	5070
417	3635	5062
418	3644	5053
419	3652	5044
420	3661	5035
421	3669	5026
422	3678	5017
423	3686	5007
424	3694	4998
425	3703	4989
426	3711	4980
427	3719	4970
428	3727	4961
429	3735	4951
430	3744	4942
431	3752	4933
432	3760	4924
433	3770	4917
434	3778	4907
435	3787	4899
436	3795	4889
437	3804	4881
438	3812	4871
439	3820	4862
440	3828	4852
441	3836	4843
442	3844	4833
443	3852	4824
444	3860	4815
445	3868	4805
446	3876	4796
447	3884	4786
448	3893	4778
449	3902	4769
450	3910	4759
451	3918	4750
452	3926	4741
453	3935	4732
454	3943	4723
455	3951	4714
456	3959	4704
457	3967	4694
458	3975	4686
459	3984	4677
460	3993	4668
461	4001	4660
462	4010	4651
463	4018	4641
464	4026	4632
465	4034	4623
466	4042	4613
467	4050	4604
468	4059	4595
469	4067	4586
470	4075	4577
471	4084	4568
472	4093	4560
473	4101	4551
474	4110	4542
475	4118	4533
476	4127	4525
477	4135	4516
478	4144	4507
479	4152	4498
480	4160	4489
481	4169	4480
482	4177	4471
483	4186	4463
484	4195	4455
485	4203	4445
486	4211	4436
487	4220	4428
488	4228	4418
489	4236	4409
490	4245	4401
491	4254	4392
492	4262	4383
493	4271	4374
494	4279	4365
495	4287	4356
496	4295	4347
497	4303	4338
498	4312	4329
499	4320	4320
500	4328	4311
501	4336	4302
502	4344	4292
503	4353	4284
504	4361	4274
505	4369	4265
506	4377	4256
507	4385	4247
508	4394	4239
509	4403	4230
510	4412	4222
511	4420	4212
512	4428	4203
513	4436	4194
514	4444	4185
515	4452	4176
516	4460	4167
517	4468	4158
518	4476	4148
519	4484	4139
520	4493	4131
521	4501	4122
522	4510	4114
523	4519	4105
524	4527	4096
525	4535	4087
526	4544	4079
527	4553	4070
528	4562	4062
529	4571	4053
530	4579	4045
531	4588	4036
532	4597	4028
533	4606	4019
534	4615	4011
535	4623	4002
536	4632	3994
537	4641	3985
538	4650	3977
539	4658	3968
540	4667	3960
541	4676	3951
542	4684	3942
543	4693	3934
544	4702	3926
545	4712	3918
546	4720	3909
547	4730	3901
548	4738	3892
549	4747	3884
550	4755	3875
551	4764	3867
552	4772	3858
553	4781	3849
554	4789	3840
555	4798	3831
556	4806	3822
557	4814	3813
558	4822	3804
559	4830	3795
560	4838	3786
561	4847	3777
562	4854	3768
563	4863	3759
564	4870	3750
565	4879	3741
566	4889	3734
567	4898	3725
568	4906	3716
569	4915	3708
570	4923	3698
571	4931	3689
572	4939	3680
573	4947	3671
574	4955	3662
575	4963	3653
576	4972	3645
577	4980	3636
578	4990	3628
579	4998	3619
580	5006	3610
581	5014	3601
582	5023	3592
583	5031	3583
584	5039	3574
585	5046	3565
586	5055	3556
587	5063	3547
588	5072	3539
589	5080	3530
590	5088	3521
591	5096	3512
592	5104	3503
593	5113	3494
594	5121	3485
595	5129	3476
596	5137	3467
597	5145	3458
598	5153	3450
599	5162	3441
600	5169	3432
601	5178	3423
602	5187	3415
603	5196	3406
604	5204	3398
605	5212	3389
606	5221	3380
607	5229	3371
608	5239	3363
609	5247	3354
610	5255	3345
611	5263	3337
612	5271	3328
613	5279	3319
614	5288	3310
615	5296	3301
616	5304	3293
617	5312	3284
618	5320	3275
619	5328	3266
620	5337	3257
621	5345	3248
622	5353	3239
623	5361	3230
624	5369	3221
625	5377	3212
626	5386	3204
627	5395	3196
628	5404	3187
629	5413	3179
630	5421	3170
631	5431	3162
632	5439	3153
633	5447	3144
634	5455	3135
635	5463	3126
636	5471	3118
637	5480	3109
638	5488	3100
639	5497	3092
640	5505	3083
641	5513	3074
642	5521	3065
643	5530	3057
644	5538	3048
645	5546	3039
646	5554	3030
647	5562	3021
648	5570	3012
649	5579	3004
650	5587	2995
651	5597	2987
652	5605	2978
653	5613	2970
654	5621	2961
655	5629	2952
656	5637	2943
657	5645	2934
658	5653	2925
659	5661	2916
660	5669	2907
661	5678	2899
662	5686	2890
